Member_number,Date,productId,items
1808,21-07-2015,1,3
2552,05-01-2015,2,1
2300,19-09-2015,3,3
1187,12-12-2015,4,3
3037,01-02-2015,2,1
4941,14-02-2015,5,1
4501,08-05-2015,4,3
3803,23-12-2015,6,2
2762,20-03-2015,2,3
4119,12-02-2015,1,3
1340,24-02-2015,7,3
2193,14-04-2015,8,3
1997,21-07-2015,9,1
4546,03-09-2015,10,3
4736,21-07-2015,11,2
1959,30-03-2015,12,1
1974,03-05-2015,13,2
2421,02-09-2015,14,2
1513,03-08-2015,15,2
1905,07-07-2015,4,2
2810,08-09-2015,16,1
2867,12-11-2015,2,1
3962,18-09-2015,1,2
1088,30-11-2015,1,2
4976,17-07-2015,17,1
4056,12-06-2015,18,1
3611,13-02-2015,19,1
1420,14-01-2015,4,3
4286,08-03-2015,20,3
4918,27-01-2015,18,3
4783,22-10-2015,21,2
3709,26-10-2015,22,3
4289,08-10-2015,23,2
1559,03-10-2015,8,2
2900,11-04-2015,24,3
1905,21-02-2015,12,2
3527,29-09-2015,25,3
1495,09-01-2015,22,3
3558,03-04-2015,7,1
3128,20-04-2015,19,3
1863,04-08-2015,1,1
3841,19-07-2015,26,3
3903,06-10-2015,25,3
2658,16-10-2015,16,1
4272,06-06-2015,27,1
1120,26-09-2015,24,3
2676,15-08-2015,5,2
1697,21-05-2015,28,1
2507,25-08-2015,22,2
4620,11-03-2015,19,2
3365,01-02-2015,25,2
2978,05-06-2015,29,1
2910,28-07-2015,30,2
1061,05-09-2015,2,1
3276,03-04-2015,2,2
1326,19-06-2015,13,3
3023,28-07-2015,5,3
2185,11-10-2015,29,1
3552,16-06-2015,5,3
1967,20-01-2015,4,3
4708,20-03-2015,19,2
2874,15-02-2015,19,1
4177,13-04-2015,9,2
1663,07-02-2015,5,2
2632,02-03-2015,2,2
1377,14-03-2015,31,2
4162,22-12-2015,32,2
2270,01-07-2015,19,2
4829,03-11-2015,1,2
3811,14-04-2015,32,1
4766,29-09-2015,2,3
2436,12-04-2015,9,2
3860,05-05-2015,2,2
4875,12-05-2015,33,2
1587,01-07-2015,4,2
4038,08-07-2015,7,2
4750,21-09-2015,34,2
1199,10-12-2015,35,3
1603,30-09-2015,36,3
3111,31-01-2015,14,2
3894,13-12-2015,22,3
1456,18-09-2015,22,1
2022,04-03-2015,37,2
2505,30-11-2015,17,1
4851,20-12-2015,19,1
4293,04-08-2015,27,2
2775,06-11-2015,23,3
3693,18-02-2015,26,1
1202,22-07-2015,38,2
3699,23-08-2015,26,1
4152,15-04-2015,12,1
4155,26-01-2015,7,1
4010,29-12-2015,23,1
4389,20-10-2015,39,3
3746,17-08-2015,40,1
2560,17-05-2015,19,1
1503,25-07-2015,10,1
2555,23-12-2015,2,3
3645,12-12-2015,7,1
3886,11-09-2015,38,1
2932,20-03-2015,19,3
1711,18-06-2015,9,3
4291,08-12-2015,19,3
1143,25-04-2015,38,1
4564,08-07-2015,5,3
3337,14-05-2015,8,3
4931,04-05-2015,2,1
2623,10-10-2015,41,3
4581,03-04-2015,1,1
2635,11-06-2015,9,2
1095,30-10-2015,13,3
2990,23-05-2015,2,2
2426,05-06-2015,26,1
4555,07-11-2015,7,3
3635,04-09-2015,1,1
3058,18-05-2015,21,2
4391,26-03-2015,21,1
1306,23-06-2015,2,3
1024,10-08-2015,42,3
1295,23-07-2015,9,2
1661,01-06-2015,13,1
4591,15-05-2015,24,3
3169,14-06-2015,4,2
3915,21-05-2015,28,3
1127,14-01-2015,9,3
4828,08-08-2015,43,1
3683,10-06-2015,15,3
1971,18-09-2015,19,1
3014,11-11-2015,31,3
3779,15-09-2015,9,2
2489,04-05-2015,2,3
3564,27-06-2015,44,1
4092,30-09-2015,26,1
3221,13-01-2015,45,2
1279,06-09-2015,1,3
2581,22-08-2015,38,3
2295,25-02-2015,5,2
4760,22-02-2015,25,3
3649,16-01-2015,25,3
1075,19-11-2015,9,1
3987,19-08-2015,4,3
4106,25-08-2015,2,3
4338,24-06-2015,2,2
4166,06-11-2015,7,2
1211,10-03-2015,9,1
3954,21-01-2015,9,3
3928,18-07-2015,16,3
3827,30-09-2015,21,3
4699,08-02-2015,46,1
4747,08-06-2015,4,1
3028,09-06-2015,19,2
2851,16-03-2015,5,1
4417,25-02-2015,40,3
3822,07-03-2015,22,3
2288,31-05-2015,27,1
2184,30-06-2015,47,3
4554,27-08-2015,2,3
3361,05-03-2015,1,1
2999,17-04-2015,8,1
2614,25-06-2015,2,3
4064,05-06-2015,9,3
3567,04-10-2015,1,3
2587,07-05-2015,25,2
3783,17-06-2015,48,2
1923,14-02-2015,49,2
4835,19-02-2015,21,1
1514,24-08-2015,2,2
3154,22-06-2015,48,1
1313,25-12-2015,4,1
2794,18-07-2015,29,2
2359,09-04-2015,4,2
2238,09-03-2015,45,2
3795,17-01-2015,50,3
3724,26-11-2015,45,2
1152,05-03-2015,2,3
4559,16-03-2015,2,1
3922,27-02-2015,51,3
1709,22-04-2015,19,2
2219,17-04-2015,4,1
2206,17-10-2015,29,1
1752,06-04-2015,4,1
3942,10-11-2015,4,3
3296,17-08-2015,38,2
2257,05-02-2015,37,1
4313,28-07-2015,9,1
2001,21-08-2015,5,1
2449,08-07-2015,45,3
4914,12-04-2015,9,3
2764,24-07-2015,4,2
4187,09-05-2015,52,3
1392,20-04-2015,15,1
3427,28-04-2015,45,2
1411,20-02-2015,9,1
3390,14-11-2015,38,1
4787,01-08-2015,8,3
3310,17-01-2015,25,2
1782,10-10-2015,23,3
3375,26-04-2015,9,3
2760,07-01-2015,19,2
4249,13-09-2015,25,1
2904,06-06-2015,53,1
4090,26-02-2015,45,2
3060,05-07-2015,25,1
3768,07-10-2015,2,2
1232,21-01-2015,5,2
1360,23-10-2015,23,3
1107,01-10-2015,7,2
2865,04-11-2015,6,3
2958,14-06-2015,5,1
2448,12-07-2015,11,1
1222,24-09-2015,54,1
2943,20-06-2015,19,1
2270,11-08-2015,2,3
3812,21-07-2015,19,1
1482,22-11-2015,49,2
4720,22-02-2015,49,2
1344,04-09-2015,17,2
2397,04-10-2015,44,3
4182,12-05-2015,55,1
4487,10-07-2015,19,1
3467,24-12-2015,44,1
2443,15-11-2015,19,3
2749,27-01-2015,28,2
